,index
1050,ATP2B1
1051,ATP2B4
1052,ATP2C1
1053,ATP5F1A
1054,ATP5F1B
1055,ATP5F1C
1056,ATP5F1D
1057,ATP5PB
1058,ATP5MC1
1059,ATP5MC2
1060,ATP5MC3
1061,ATP5PD
1062,ATP5PF
1063,ATP5MF
1064,ATP5MG
1065,ATP5PO
1066,ATP5S
1067,ATP6AP1
1068,ATP6AP2
1069,ATP6V0A1
1070,ATP6V0A2
1071,ATP6V0A4
1072,ATP6V0B
1073,ATP6V0C
1074,ATP6V0D1
1075,ATP6V0D2
1076,ATP6V0E1
1077,ATP6V0E2
1078,ATP6V1A
1079,ATP6V1B2
1080,ATP6V1C1
1081,ATP6V1D
1082,ATP6V1E1
1083,ATP6V1E2
1084,ATP6V1F
1085,ATP6V1G1
1086,ATP6V1G2
1087,ATP6V1H
1088,ATP7A
1089,ATP8A1
1090,ATP8A2
1091,ATP8B1
1092,ATP8B2
1093,ATP8B4
1094,ATP9A
1095,ATP9B
1096,ATPAF1
1097,ATPAF2
1098,ATP5IF1
1099,ATR
1100,ATRAID
1101,ATRN
1102,ATRNL1
1103,ATRX
1104,ATXN1
1105,ATXN10
1106,ATXN1L
1107,ATXN2
1108,ATXN2L
1109,ATXN3
1110,ATXN7
1111,ATXN7L1
1112,ATXN7L2
1113,ATXN7L3
1114,ATXN7L3B
1115,AUH
1116,AUNIP
1117,AUP1
1118,AURKA
1119,AURKAIP1
1120,AURKB
1121,AUTS2
1122,AVEN
1123,AVIL
1124,AVL9
1125,AVPI1
1126,AVPR1A
1127,AWAT2
1128,AXIN1
1129,AXIN2
1130,AXL
1131,AZI2
1132,AZIN1
1133,AZIN2
1134,C11orf74
1135,C5orf24
1136,B2M
1137,B3GALNT1
1138,B3GALNT2
1139,B3GALT1
1140,B3GALT2
1141,B3GALT4
1142,B3GALT6
1143,B3GAT3
1144,B3GLCT
1145,B3GNT3
1146,B3GNT5
1147,B3GNT6
1148,B3GNT8
1149,B3GNT9
1150,B3GNTL1
1151,B4GALNT1
1152,B4GALT1
1153,B4GALT2
1154,B4GALT3
1155,B4GALT4
1156,B4GALT5
1157,B4GALT6
1158,B4GALT7
1159,B4GAT1
1160,B9D1
1161,B9D2
1162,C16orf91
1163,C6orf89
1164,C6orf62
1165,C9orf78
1166,C3orf52
1167,C16orf58
1168,CYBC1
1169,CLBA1
1170,C19orf54
1171,C1orf54
1172,C18orf32
1173,KIAA1614
1174,C7orf43
1175,C12orf66
1176,C12orf60
1177,C15orf41
1178,C1orf112
1179,BABAM1
1180,BACE1
1181,BACE2
1182,BACH1
1183,BACH2
1184,BAD
1185,BAG1
1186,BAG2
1187,BAG3
1188,BAG4
1189,BAG5
1190,BAG6
1191,BAHCC1
1192,BAHD1
1193,BAIAP2
1194,BAIAP2L1
1195,BAIAP2L2
1196,BAIAP3
1197,BAK1
1198,BAMBI
1199,BANF1
1200,BANK1
1201,BANP
1202,BAP1
1203,BARD1
1204,BARX2
1205,BASP1
1206,BATF
1207,BATF2
1208,BATF3
1209,BAX
1210,BAZ1A
1211,BAZ1B
1212,BAZ2A
1213,BAZ2B
1214,BBC3
1215,BBIP1
1216,BBOF1
1217,BBOX1
1218,BBS10
1219,BBS12
1220,BBS2
1221,BBS4
1222,BBS5
1223,BBS7
1224,BBS9
1225,BBX
1226,BCAM
1227,BCAP29
1228,BCAP31
1229,BCAR1
1230,BCAR3
1231,BCAS1
1232,BCAS2
1233,BCAS3
1234,BCAT1
1235,BCAT2
1236,BCCIP
1237,BCDIN3D
1238,BCHE
1239,BCKDHA
1240,BCKDHB
1241,BCKDK
1242,BCL10
1243,BCL11A
1244,BCL11B
1245,BCL2
1246,BCL2L1
1247,BCL2L11
1248,BCL2L12
1249,BCL2L13
1250,BCL2L14
1251,BCL2L2
1252,BCL3
1253,BCL6
1254,BCL6B
1255,BCL7A
1256,BCL7B
1257,BCL7C
1258,BCL9
1259,BCL9L
1260,BCLAF1
1261,BCO2
1262,BCOR
1263,BCORL1
1264,BCR
1265,BCS1L
1266,BDH1
1267,BDH2
1268,BDKRB1
1269,BDNF
1270,BDP1
1271,BEAN1
1272,BECN1
1273,BEGAIN
1274,BEND3
1275,BEND5
1276,BEND6
1277,BEND7
1278,BEST1
1279,BET1
1280,BET1L
1281,BEX1
1282,BEX3
1283,BEX4
1284,BFAR
1285,BFSP1
1286,BGN
1287,BHLHB9
1288,BHLHE40
1289,BICC1
1290,BICD1
1291,BICD2
1292,BICDL1
1293,BICDL2
1294,BID
1295,BIK
1296,BIN1
1297,BIN2
1298,BIN3
1299,BIRC2
1300,BIRC3
1301,BIRC5
1302,BIRC6
1303,BIVM
1304,BLCAP
1305,BLK
1306,BLM
1307,BLMH
1308,BLNK
1309,BLOC1S1
1310,BLOC1S2
1311,BLOC1S3
1312,BLOC1S4
1313,BLOC1S5
1314,BLOC1S6
1315,BLVRA
1316,BLVRB
1317,BLZF1
1318,BMF
1319,COMMD3-BMI1
1320,BMP1
1321,BMP2
1322,BMP2K
1323,BMP3
1324,BMP4
1325,BMP5
1326,BMP6
1327,BMP7
1328,BMPER
1329,BMPR1A
1330,BMPR1B
1331,BMPR2
1332,BMS1
1333,BMT2
1334,BMX
1335,BNC2
1336,BNIP1
1337,BNIP2
1338,BNIP3
1339,BNIPL
1340,BOC
1341,BOD1
1342,BOD1L1
1343,BOK
1344,BOLA1
1345,BOLA3
1346,BOP1
1347,BORA
1348,BORCS5
1349,BORCS6
1350,BORCS7
1351,BORCS8
1352,BPGM
1353,BPHL
1354,BPNT1
1355,BPTF
1356,BRAF
1357,BRAP
1358,BRAT1
1359,BRCA1
1360,BRCA2
1361,BRCC3
1362,BRD1
1363,BRD2
1364,BRD3
1365,BRD7
1366,BRD8
1367,BRD9
1368,BRDT
1369,BRF1
1370,BRF2
1371,BRI3
1372,BRI3BP
1373,BRINP1
1374,BRINP2
1375,BRINP3
1376,BRIP1
1377,BRIX1
1378,BRK1
1379,BRMS1
1380,BRMS1L
1381,BROX
1382,BRPF1
1383,BRPF3
1384,BRSK1
1385,BRWD1
1386,BRWD3
1387,BSCL2
1388,BSDC1
1389,BSG
1390,BSN
1391,BSPRY
1392,BST1
1393,BTAF1
1394,BTBD1
1395,BTBD10
1396,BTBD11
1397,BTBD2
1398,BTBD6
1399,BTBD7
1400,BTBD9
1401,BTD
1402,BTF3
1403,BTF3L4
1404,BTG1
1405,BTG2
1406,BTG3
1407,BTK
1408,BTLA
1409,BTRC
1410,BUB3
1411,BUD13
1412,BVES
1413,BYSL
1414,BZW1
1415,BZW2
1416,C1orf115
1417,C1D
1418,C1GALT1
1419,C1GALT1C1
1420,C1QA
1421,C1QB
1422,C1QBP
1423,C1QC
1424,C1QTNF1
1425,C1QTNF2
1426,C1QTNF3
1427,C1QTNF4
1428,C1QTNF6
1429,C1QTNF7
1430,C1QTNF9B
1431,C1RL
1432,C2
1433,C2CD2
1434,C2CD2L
1435,C2CD3
1436,C2CD4D
1437,C2CD5
1438,C3
1439,CXorf56
1440,C5orf63
1441,Gm5148
1442,C3AR1
1443,C5AR1
1444,C5AR2
1445,C7
1446,KIAA1522
1447,C2orf42
1448,C8G
1449,CAAP1
1450,CAB39
1451,CAB39L
1452,CABIN1
1453,CABLES1
1454,CABLES2
1455,CACFD1
1456,CACHD1
1457,CACNA1A
1458,CACNA1B
1459,CACNA1C
1460,CACNA1D
1461,CACNA1G
1462,CACNA1H
1463,CACNA2D1
1464,CACNA2D2
1465,CACNB1
1466,CACNB3
1467,CACNB4
1468,CACNG4
1469,CACNG7
1470,CACTIN
1471,CACUL1
1472,CACYBP
1473,CAD
1474,CADM1
1475,CADM2
1476,CADM3
1477,CADM4
1478,CADPS
1479,CAGE1
1480,CALCB
1481,CALCOCO1
1482,CALCRL
1483,CALHM2
1484,CALML3
1485,CALML4
1486,CALR
1487,CALU
1488,CALY
1489,CAMK1
1490,CAMK1D
1491,CAMK1G
1492,CAMK2B
1493,CAMK2D
1494,CAMK2G
1495,CAMK2N1
1496,CAMKK1
1497,CAMKK2
1498,CAMKMT
1499,CAMLG
1500,CAMSAP1
1501,CAMSAP2
1502,CAMSAP3
1503,CAMTA1
1504,CAMTA2
1505,CAND1
1506,CAND2
1507,CANT1
1508,CANX
1509,CAP1
1510,CAP2
1511,CAPG
1512,CAPN1
1513,CAPN10
1514,CAPN11
1515,CAPN13
1516,CAPN15
1517,CAPN2
1518,CAPN3
1519,CAPN5
1520,CAPN6
1521,CAPN7
1522,CAPNS1
1523,CAPNS2
1524,CAPRIN1
1525,CAPRIN2
1526,CAPSL
1527,CAPZA1
1528,CAPZA2
1529,CAPZB
1530,CA11
1531,CA12
1532,CA13
1533,CA14
1534,CA2
1535,CA3
1536,CA4
1537,CA5A
1538,CA5B
1539,CA7
1540,CA8
1541,CA9
1542,CARD10
1543,CARD11
1544,CARD14
1545,CARD19
1546,CARD6
1547,CARD9
1548,CARF
1549,CARHSP1
1550,CARM1
1551,CARMIL1
1552,CARMIL3
1553,CARNMT1
1554,CARNS1
1555,CARS
1556,CARS2
1557,CASC3
1558,CASC4
1559,CASD1
1560,CASK
1561,CASKIN2
1562,CASP1
1563,CASP2
1564,CASP3
1565,CASP4
1566,CASP6
1567,CASP7
1568,CASP8
1569,CASP8AP2
1570,CASP9
1571,CASQ1
1572,CASQ2
1573,CASS4
1574,CAST
1575,CASZ1
1576,CAT
1577,CATSPER2
1578,CATSPER3
1579,CATSPERD
1580,CAV1
1581,CAV2
1582,CAV3
1583,CBFA2T2
1584,CBFA2T3
1585,CBFB
1586,CBL
1587,CBLB
1588,CBLC
1589,CBLL1
1590,CBR1
1591,CBR3
1592,CBR4
1593,CBWD1
1594,CBX1
1595,CBX2
1596,CBX3
1597,CBX4
1598,CBX5
1599,CBX6
1600,CBX7
1601,CBX8
1602,CBY1
1603,CC2D1A
1604,CC2D1B
1605,CC2D2A
1606,CCAR1
1607,CCAR2
1608,CCBE1
1609,CCDC102A
1610,CCDC103
1611,CCDC106
1612,CCDC107
1613,CCDC112
1614,CCDC113
1615,CCDC114
1616,CCDC115
1617,CCDC116
1618,CCDC117
1619,CCDC12
1620,CCDC120
1621,CCDC122
1622,CCDC124
1623,CCDC125
1624,CCDC126
1625,CCDC127
1626,CCDC129
1627,CCDC130
1628,CCDC134
1629,CCDC137
1630,CCDC138
1631,CCDC141
1632,CCDC148
1633,CCDC149
1634,CCDC15
1635,CCDC157
1636,CCDC158
1637,CCDC159
1638,CCDC160
1639,CCDC166
1640,CCDC167
1641,CCDC17
1642,CCDC171
1643,CCDC173
1644,CCDC174
1645,CCDC18
1646,CCDC180
1647,CCDC181
